Year,Day,DOY,Hour,Irradiance,Temp,Rain,Wind,Rel_hum,SD
1999,189,189,12,4890.24,20.5,0,1.5,74.8,6.068893578
1999,189,189,13,5702.4,20.7,0,2.2,73.4,6.485480101
1999,189,189,14,4924.8,20.5,0,2.2,73.3,6.430137243
1999,189,189,15,5080.32,20.8,0,2.3,72.7,6.697238853
1999,189,189,16,3853.44,20.4,0,2.5,74,6.223052393
1999,189,189,17,3585.6,19.9,0,2.6,73.8,6.080031033
1999,189,189,18,3024,20.1,0,2.4,69.9,7.072085477
1999,189,189,19,1961.28,20.2,0,1.7,69.2,7.281432713
1999,189,189,20,924.48,19.6,0,1.5,71.2,6.560191915
1999,189,189,21,172.8,18.3,0,1,78.7,4.473724118
1999,189,189,22,0,16.5,0,1,85.8,2.661925346
1999,189,189,23,0,15.4,0,0.8,91.1,1.555153561
1999,190,190,0,0,14.9,0,0.8,91.9,1.370583841
1999,190,190,1,0,14.3,0,0.8,93.8,1.009215245
1999,190,190,2,0,13.9,0,0.8,96.8,0.507549549
1999,190,190,3,0,13.4,0,0.8,97.8,0.337769979
1999,190,190,4,0,13.1,0,0.8,98.8,0.180665183
1999,190,190,5,0,13.1,0,1.4,98.8,0.180665183
1999,190,190,6,77.76,13.1,0,1.7,99.9,0.015055432
1999,190,190,7,864,13.9,0,1.8,97.8,0.348940315
1999,190,190,8,1805.76,15.7,0,1.8,92.1,1.407218332
1999,190,190,9,2937.6,17.5,0,1.3,85.2,2.955900843
1999,190,190,10,4069.44,18.8,0,1.6,81.4,4.030849546
1999,190,190,11,4544.64,20.1,0,2.2,75.5,5.756348644
1999,190,190,12,4803.84,20.8,0,2.5,71.1,7.08975102
1999,190,190,13,4924.8,21.5,0,2.5,66.3,8.630058431
1999,190,190,14,5529.6,22,0,2.7,66.6,8.818415845
1999,190,190,15,4682.88,22.3,0,2.8,65.3,9.33050668
1999,190,190,16,5037.12,22.6,0,3.3,61.9,10.43311666
1999,190,190,17,4008.96,22.6,0,3,61.9,10.43311666
1999,190,190,18,3058.56,22.3,0,2.9,61.7,10.29851314
1999,190,190,19,2004.48,21.9,0,2.7,62.2,9.919458069
1999,190,190,20,1028.16,21.5,0,2.2,65.5,8.834926287
1999,190,190,21,207.36,20.1,0,1.5,70.7,6.884123072
1999,190,190,22,0,18.2,0,1,79.5,4.2787633
1999,190,190,23,0,17.1,0,1.2,85.1,2.901563836
1999,191,191,0,0,16.1,0,0.9,89.3,1.95533979
1999,191,191,1,0,15.1,0,0.9,92.9,1.216944155
1999,191,191,2,0,14.8,0,1,92.9,1.193657563
1999,191,191,3,0,14.3,0,0.8,93.8,1.009215245
1999,191,191,4,0,14.4,0,1.1,92.8,1.179600443
1999,191,191,5,0,14.2,0,0.8,93.8,1.002700543
1999,191,191,6,0,13.8,0,0.9,95.7,0.677603132
1999,191,191,7,449.28,15.3,0,1.5,90.1,1.718819818
1999,191,191,8,1028.16,17,0,1.6,83.3,3.231553594
1999,191,191,9,1961.28,18.6,0,1.4,76.3,5.072251103
1999,191,191,10,2626.56,19.9,0,1.5,70.6,6.822630243
1999,191,191,11,4622.4,21.3,0,2.5,68.4,7.993784777
1999,191,191,12,4484.16,22,0,2.5,70.3,7.841525467
1999,191,191,13,4872.96,22.9,0,2.6,70.8,8.142673599
1999,191,191,14,5702.4,23.8,0,2.7,70.4,8.714696985
1999,191,191,15,5365.44,24.4,0,2.8,70,9.156075152
1999,191,191,16,3948.48,24.5,0,3,71.5,8.750453785
1999,191,191,17,3697.92,24.8,0,3.1,70.9,9.0961932
1999,191,191,18,2548.8,24.6,0,2.9,71.5,8.802909019
1999,191,191,19,1244.16,24,0,2.6,73.4,7.926096621
1999,191,191,20,328.32,23.6,0,1.7,74.7,7.359629591
1999,191,191,21,95.04,23.1,0,1.5,76,6.774054738
1999,191,191,22,0,22.4,0,1.4,77.2,6.168085852
1999,191,191,23,0,21.5,0,1.3,80,5.121696398
1999,192,192,0,0,20.8,0,1.5,83,4.170441777
1999,192,192,1,0,19.8,0,1,87.6,2.859794341
1999,192,192,2,0,18.8,0,0.9,90.9,1.972082305
1999,192,192,3,0,18,0,1.2,94.3,1.174850114
1999,192,192,4,0,17.8,0,1.5,95.2,0.9769751
1999,192,192,5,0,17.5,0,1.7,94.2,1.158393574
1999,192,192,6,77.76,17.3,0,1.4,96,0.788862494
1999,192,192,7,682.56,18.1,0,1.3,91.6,1.742273611
1999,192,192,8,1684.8,20,0,1.1,86,3.26905205
1999,192,192,9,2764.8,21.9,0,1.6,79.4,5.405842228
1999,192,192,10,3853.44,23.3,0,2,75.3,7.056342214
1999,192,192,11,4717.44,24,0,2.5,74.2,7.687717775
1999,192,192,12,4691.52,24.5,0,2.7,72.2,8.535530359
1999,192,192,13,5546.88,25.1,0,2.8,71,9.2284309
1999,192,192,14,3646.08,25.7,0,2.7,69.9,9.925893014
1999,192,192,15,4354.56,26.3,0,2.3,68.7,10.69424722
1999,192,192,16,4872.96,26.9,0,2.5,67.6,11.46789534
1999,192,192,17,3231.36,26.6,0,2.4,68.8,10.85014658
1999,192,192,18,2548.8,26.5,0,2,68.1,11.02846979
1999,192,192,19,1520.64,25.9,0,1.5,69.9,10.04411451
1999,192,192,20,1010.88,25.4,0,1.3,71.1,9.362097472
